sequence,role,variant,source_sheet,folder,crop,prompt,original_crop_filename,crop_sha256
22,Knowledge Keeper,Sheet 2 variant,18282,characters/022_knowledge_keeper_sheet_2_variant,characters/022_knowledge_keeper_sheet_2_variant/character_crop.png,characters/022_knowledge_keeper_sheet_2_variant/prompt.txt,18282_12_knowledge_keeper.png,bc56b64fa02c3cb95e4d6dba53d47ad67f89c6f6826d59d02d28c4c202e5b0c8
23,Pattern Seeker,Sheet 2 variant,18282,characters/023_pattern_seeker_sheet_2_variant,characters/023_pattern_seeker_sheet_2_variant/character_crop.png,characters/023_pattern_seeker_sheet_2_variant/prompt.txt,18282_13_pattern_seeker.png,e87ccf34aa6108e134c52f2f531fd100866af001ade432d2e770fd6549067b45
24,Translator,Sheet 2 variant,18282,characters/024_translator_sheet_2_variant,characters/024_translator_sheet_2_variant/character_crop.png,characters/024_translator_sheet_2_variant/prompt.txt,18282_14_translator.png,7e3718f27a536822dea263e38f8e4d9b7e9f1ef679dec8a3f44ae5de2253b574
25,Connector,Sheet 2 variant,18282,characters/025_connector_sheet_2_variant,characters/025_connector_sheet_2_variant/character_crop.png,characters/025_connector_sheet_2_variant/prompt.txt,18282_15_connector.png,cfbb7d1155a73504e449a061b7d2d7ea5a4b18843c4af3fec7aa4ce150980268
26,Scheduler,Sheet 2 variant,18282,characters/026_scheduler_sheet_2_variant,characters/026_scheduler_sheet_2_variant/character_crop.png,characters/026_scheduler_sheet_2_variant/prompt.txt,18282_21_scheduler.png,d9bd2633a196a7f0ee1d8dd34032a987f614dcf9de2fc13cf7644705b4ccf908
27,Optimizer,Sheet 2 variant,18282,characters/027_optimizer_sheet_2_variant,characters/027_optimizer_sheet_2_variant/character_crop.png,characters/027_optimizer_sheet_2_variant/prompt.txt,18282_22_optimizer.png,302cbf627aba4bafc7c3fb88902d5d175a6e43d96e509765cd5625c2e289bd1c
28,Simulator,,18282,characters/028_simulator,characters/028_simulator/character_crop.png,characters/028_simulator/prompt.txt,18282_23_simulator.png,5e4d659f2ebcbb39f4a69f899ef46202f045106fb3c6197499bbd12e29be64b2
29,Documenter,,18282,characters/029_documenter,characters/029_documenter/character_crop.png,characters/029_documenter/prompt.txt,18282_24_documenter.png,14f3f948c1d765d7dc0d236dc46bc0e049c9b3ddf22509a1739145c8476b1d14
30,Guardian,,18282,characters/030_guardian,characters/030_guardian/character_crop.png,characters/030_guardian/prompt.txt,18282_25_guardian.png,16298a639520fc19578f7b0b4ad51aa6e3f7057436042237094168d286ab7002
31,Creative Synthesizer,,18282,characters/031_creative_synthesizer,characters/031_creative_synthesizer/character_crop.png,characters/031_creative_synthesizer/prompt.txt,18282_31_creative_synthesizer.png,a168664a19c84ba3a429a7f81200c0d6f3e386f963a5ce681ff9882f7777b2b9
32,Resource Manager,Sheet 2 variant,18282,characters/032_resource_manager_sheet_2_variant,characters/032_resource_manager_sheet_2_variant/character_crop.png,characters/032_resource_manager_sheet_2_variant/prompt.txt,18282_32_resource_manager.png,4149fe552ff96bfc1cd0c6a7d6bfae8d9df4b9916f2ed023557fdd8a8d4c4f19
33,Feedback Listener,,18282,characters/033_feedback_listener,characters/033_feedback_listener/character_crop.png,characters/033_feedback_listener/prompt.txt,18282_33_feedback_listener.png,430a03aed513bb37e044d43aa9c288ac41ed1eff69fcdc777814332c3f6b9e58
34,Decision Helper,,18282,characters/034_decision_helper,characters/034_decision_helper/character_crop.png,characters/034_decision_helper/prompt.txt,18282_34_decision_helper.png,38b4656e805131aeb14a52bddfa7bcf0043bc18c0d60a2a401c9c0ddc1332c95
35,Flow Director,,18282,characters/035_flow_director,characters/035_flow_director/character_crop.png,characters/035_flow_director/prompt.txt,18282_35_flow_director.png,e8ed1f95d093525c56eab27708bbff610def30b529de3a55dac77b4fc3091070
36,Data Miner,Sheet 3 variant,18284,characters/036_data_miner_sheet_3_variant,characters/036_data_miner_sheet_3_variant/character_crop.png,characters/036_data_miner_sheet_3_variant/prompt.txt,18284_11_data_miner.png,d5bd04fe41fc4c8224dc6b4d41f8215bbecaf18f8afc5b7bc455f61af6a2a975
37,Pattern Seer,,18284,characters/037_pattern_seer,characters/037_pattern_seer/character_crop.png,characters/037_pattern_seer/prompt.txt,18284_12_pattern_seer.png,e443e279928eb01b697896f6fabc7f279ce8be67298e4f5f478e4ca9ed15893c
38,Translator,Sheet 3 variant,18284,characters/038_translator_sheet_3_variant,characters/038_translator_sheet_3_variant/character_crop.png,characters/038_translator_sheet_3_variant/prompt.txt,18284_13_translator.png,71ec8ada4ceac2290d49e4acc1189ee29bcaab9390833257ddcf4597d6509708
39,Optimizer,Sheet 3 variant,18284,characters/039_optimizer_sheet_3_variant,characters/039_optimizer_sheet_3_variant/character_crop.png,characters/039_optimizer_sheet_3_variant/prompt.txt,18284_14_optimizer.png,98e32c5c0273ef02ecc8b3f066e8f713fa0385cb82b092552c864351b868d1cf
40,Scheduler,Sheet 3 variant,18284,characters/040_scheduler_sheet_3_variant,characters/040_scheduler_sheet_3_variant/character_crop.png,characters/040_scheduler_sheet_3_variant/prompt.txt,18284_15_scheduler.png,688118b9339913a17369fbc1315d8e657fd595cdbf049eb089d7ff5aaa334ff8
41,Resource Manager,Sheet 3 variant,18284,characters/041_resource_manager_sheet_3_variant,characters/041_resource_manager_sheet_3_variant/character_crop.png,characters/041_resource_manager_sheet_3_variant/prompt.txt,18284_21_resource_manager.png,e4ec084f3651aafd3f8490b9557af7ecce971a742a3c164286b8edf40a6912e0
42,Communicator,,18284,characters/042_communicator,characters/042_communicator/character_crop.png,characters/042_communicator/prompt.txt,18284_22_communicator.png,04cbd04a38210c0a7adf57d05a4210dc84f8db0496886bccb9771683314d8ceb
43,Integrator,,18284,characters/043_integrator,characters/043_integrator/character_crop.png,characters/043_integrator/prompt.txt,18284_23_integrator.png,316d2cd0345774d644d165760a8af54b7371f85948427f99fbd91a62161fe3a2
44,Security Analyst,,18284,characters/044_security_analyst,characters/044_security_analyst/character_crop.png,characters/044_security_analyst/prompt.txt,18284_24_security_analyst.png,4733bf6ffaa6fa41f772ed72884ec9c06b68751d541b0411d00863b5fdf59ce7
45,Quality Guardian,,18284,characters/045_quality_guardian,characters/045_quality_guardian/character_crop.png,characters/045_quality_guardian/prompt.txt,18284_25_quality_guardian.png,571d5965351c030b52b3351a5d1542293da1ad33db0a0449d74f2b946810dafa
46,Documentation Specialist,,18284,characters/046_documentation_specialist,characters/046_documentation_specialist/character_crop.png,characters/046_documentation_specialist/prompt.txt,18284_31_documentation_specialist.png,966b0559ce323ccffdde151d015e5cf2cf878d82363d33c1214a6786567408ac
47,Test Explorer,,18284,characters/047_test_explorer,characters/047_test_explorer/character_crop.png,characters/047_test_explorer/prompt.txt,18284_32_test_explorer.png,d36d066ca0514667af2596ac34e0663e5fd27474530f97467c73f247dcf4167f
48,Deployment Pilot,,18284,characters/048_deployment_pilot,characters/048_deployment_pilot/character_crop.png,characters/048_deployment_pilot/prompt.txt,18284_33_deployment_pilot.png,3224047950c2b281d9394ead569d4608a9b293d93c4d7818bc0c965667438539
49,Monitoring Sentinel,,18284,characters/049_monitoring_sentinel,characters/049_monitoring_sentinel/character_crop.png,characters/049_monitoring_sentinel/prompt.txt,18284_34_monitoring_sentinel.png,50b3f6fc2b8e9882b06fe6acc1f6f5e43f1566b5a478c73ea4a4db5605598a30
50,Feedback Collector,,18284,characters/050_feedback_collector,characters/050_feedback_collector/character_crop.png,characters/050_feedback_collector/prompt.txt,18284_35_feedback_collector.png,e354c6a1d624e24633baa64d097ce4c453bc215d057353d2dd83d32ee4474385
51,Idea Catalyst,,18284,characters/051_idea_catalyst,characters/051_idea_catalyst/character_crop.png,characters/051_idea_catalyst/prompt.txt,18284_41_idea_catalyst.png,6a14cf6e2d3c6ee8b106b97eef782e2a02c46b01b6859ba126eb2d63bf18509f
52,Process Mapper,,18284,characters/052_process_mapper,characters/052_process_mapper/character_crop.png,characters/052_process_mapper/prompt.txt,18284_42_process_mapper.png,28f2351c4e692e1e4757257a23db9d09877e91c88924712e49961e361096d1e9
53,Strategy Scout,,18284,characters/053_strategy_scout,characters/053_strategy_scout/character_crop.png,characters/053_strategy_scout/prompt.txt,18284_43_strategy_scout.png,99be598f0c6cf0a9c0388b17bf6a2bcd014d576f49213e3f711795260186f0cc
54,System Maintainer,,18284,characters/054_system_maintainer,characters/054_system_maintainer/character_crop.png,characters/054_system_maintainer/prompt.txt,18284_44_system_maintainer.png,f5d5ff899b42ea1809c710e6ed04a4a4b75e107ffa90310827625ff87da9794b
55,Sustainability Advocate,,18284,characters/055_sustainability_advocate,characters/055_sustainability_advocate/character_crop.png,characters/055_sustainability_advocate/prompt.txt,18284_45_sustainability_advocate.png,76c14c5ca049e7ede2e1056af87fde7d27d8a7b235720ea91723661b5cf9d991
56,Systems Analyst,,18283,characters/056_systems_analyst,characters/056_systems_analyst/character_crop.png,characters/056_systems_analyst/prompt.txt,18283_11_systems_analyst.png,69d4de5fc5698434cfd083efa8bb3f456841f6c6dd9b5d94aced9fa1a91fad66
57,Database Administrator,,18283,characters/057_database_administrator,characters/057_database_administrator/character_crop.png,characters/057_database_administrator/prompt.txt,18283_12_database_administrator.png,7d7eeda9cc40f7caf3a8ed9052e75ddba1ac63a0211fce52c3513f7f2ea3a645
58,Network Engineer,,18283,characters/058_network_engineer,characters/058_network_engineer/character_crop.png,characters/058_network_engineer/prompt.txt,18283_13_network_engineer.png,4ac010a5521c2803f771ce3bcf660655d1721abdabfb76f6339e40e7e1f2a6e0
59,Site Reliability Engineer,,18283,characters/059_site_reliability_engineer,characters/059_site_reliability_engineer/character_crop.png,characters/059_site_reliability_engineer/prompt.txt,18283_14_site_reliability_engineer.png,64bf19ed0eb49d48946b6406af06f04413c4b7158ecf65ea8c2174c849236b6b
60,Build Engineer,,18283,characters/060_build_engineer,characters/060_build_engineer/character_crop.png,characters/060_build_engineer/prompt.txt,18283_15_build_engineer.png,751fe000f80c13edc2fbaac32d2381313fd57a25f1302e1fb18d41ec55cba076
61,Test Automation Engineer,,18283,characters/061_test_automation_engineer,characters/061_test_automation_engineer/character_crop.png,characters/061_test_automation_engineer/prompt.txt,18283_21_test_automation_engineer.png,4cad131f46b9a40a93359c98bf759e7283d24c18ce8ca802999ff123e7b6b6ad
62,Threat Modeler,,18283,characters/062_threat_modeler,characters/062_threat_modeler/character_crop.png,characters/062_threat_modeler/prompt.txt,18283_22_threat_modeler.png,b7850f20ca6d7c3a4f90deb1ef1a2c0213401fde072234f7beac3356adf41632
63,Compliance Officer,,18283,characters/063_compliance_officer,characters/063_compliance_officer/character_crop.png,characters/063_compliance_officer/prompt.txt,18283_23_compliance_officer.png,2d995f98ee75d3a7cf217a56154d41017914b8cdef7f2332c585b40294d01403
64,Migration Engineer,,18283,characters/064_migration_engineer,characters/064_migration_engineer/character_crop.png,characters/064_migration_engineer/prompt.txt,18283_24_migration_engineer.png,d9bbf39b64d5a75914fd15aa6057ae95014cf20bbadd8b9885523b30ae573f03
65,Observability Engineer,,18283,characters/065_observability_engineer,characters/065_observability_engineer/character_crop.png,characters/065_observability_engineer/prompt.txt,18283_25_observability_engineer.png,e15eb296746a98a8f1379b6a53074eb8201d4f548f9feb77c2cd09b3aa3f6ac4
66,Business Analyst,,18283,characters/066_business_analyst,characters/066_business_analyst/character_crop.png,characters/066_business_analyst/prompt.txt,18283_31_business_analyst.png,6e3d1974a79e06c1270ea995dac98314f86daaf09f2e2fbccb2bbae54e798039
67,Content Strategist,,18283,characters/067_content_strategist,characters/067_content_strategist/character_crop.png,characters/067_content_strategist/prompt.txt,18283_32_content_strategist.png,cbb4b756dad9805f8cab186adea1d4d9b6cf899b3b8566d4086cbcfbf3e650f5
68,Support Agent,,18283,characters/068_support_agent,characters/068_support_agent/character_crop.png,characters/068_support_agent/prompt.txt,18283_33_support_agent.png,5f01679e18d7c5e1034f518af22323452eb5893fe93ca5f1b02d4e67de78d1c4
69,Data Scientist,,18283,characters/069_data_scientist,characters/069_data_scientist/character_crop.png,characters/069_data_scientist/prompt.txt,18283_34_data_scientist.png,64000005d766ca69f80eb5f13d864938c7a0119229ea6f2eb7e200b899acfcd8
70,ML Engineer,,18283,characters/070_ml_engineer,characters/070_ml_engineer/character_crop.png,characters/070_ml_engineer/prompt.txt,18283_35_ml_engineer.png,415c0b325dd4dcbf01189ee977565668af7096c20421f1cbf794a75f332c4ad4
